GERMAN,ENGLISH,PORTUGUESE
ich ,I,eu
sie ,they,ela
das ,the,a
ist ,is,é
du ,you,tu
nicht ,Not,não
die ,the,a
und ,and,e
es ,it,isto
der ,the,a
was ,What,O que
wir ,weather,clima
er ,he,ele
zu ,to,para
ein ,on,uma
in ,in,no
mit ,with,com
mir ,to me,mim
den ,the,a
wie ,how,Como as
ja ,Yes,sim
auf ,on,sobre
mich ,me,mim
so ,so,tão
eine ,one,1
aber ,but,mas
hier ,here,aqui
sind ,are,estão
von ,from,a partir de
haben ,to have,Ter
hat ,Has,Tem
dich ,you,tu
war ,was,era
dass ,that,naquela
wenn ,if,E se
an ,on,no
da ,there,lá
nein ,no,não
bin ,am,sou
noch ,still,ainda
dir ,to you,para você
nur ,only,só
habe ,have,tenho
ihr ,her,sua
sich ,themselves,eles mesmos
einen ,a,uma
uns ,US,nós
hast ,have,tenho
dem ,to the,ao
ihn ,him,dele
aus ,the end,o fim
kann ,can,posso
gut ,Well,Nós vamos
auch ,even,até
schon ,nice,bela
jetzt ,now,agora
im ,in the,no
sein ,being,ser
mal ,just,vezes
dann ,then,então
meine ,my,minha
als ,as,Como
um ,around,por aí
mein ,my,minha
doch ,indeed,mas
bist ,are you,és tu
wird ,will,vai
keine ,no,não
nach ,to,depois de
alles ,everything,Tudo
man ,you,tu
lch ,l,eu
oder ,or,ou
nichts ,nothing,nada
wo ,Where,Onde
werden ,will,tornar-se
will ,want,quer
geht ,goes,vai
mehr ,more,mais
warum ,why,porque
hab ,have,tenho
ihnen ,them,eles
bitte ,You're welcome,De nada
etwas ,some,algum
bei ,at,no
muss ,got to,ter que
los ,Come on,Vamos
immer ,always,sempre
oh ,Oh,Oh
vor ,in front,antes
mann ,man,cara
zum ,to the,ao
wieder ,again,novamente
sehr ,very,muito
sehen ,see,Vejo
sagen ,say,dizer
also ,so,tão
gehen ,walk,andar
wer ,who,quem
alle ,Everyone,Todos
denn ,because,Porque
machen ,make,Faz
ihm ,him,dele
diese ,these,esses
komm ,come over,venha aqui
danke ,Thank you,obrigado
euch ,you,tu
einem ,one,1
tun ,to do,pendência
einer ,one,1
gibt ,gives,dá
nie  ,never,nunca
des ,of,do
soll ,target,alvo
kein ,no,não
vielleicht ,perhaps,possivelmente
weg ,path,caminho
deine ,yours,Sua
wissen ,to know,saber
am ,at the,no
werde ,will,vai
leben ,Life,Vida
kommen ,come,vir
kommt ,comes,vem
viel ,much,Muito de
wirklich ,really,realmente
frau ,woman,Sra
hatte ,would have,teria
heute ,today,hoje
ok ,OK,OK
willst ,want,quer
dein ,your,sua
tut ,does,faz
ihre ,their,seus
ganz ,quite,bastante
zeit ,Time,Tempo
bis ,until,até
wollen ,want,quer
einfach ,simple,simples
macht ,power,potência
gott ,God,Deus
nun ,well,Nós vamos
weil ,because,Porque
damit ,in order to,em ordem de
dieser ,this,isto
kannst ,can,posso
wurde ,became,passou a ser
gesagt ,said,disse
seine ,his,seu
wollte ,wanted to,queria
na ,n / A,n / D
zwei ,two,dois
hallo ,Hello,Olá
meinen ,say,dizer
sicher ,for sure,com certeza
sir ,sir,Senhor
morgen ,morning,manhã
ab ,away,longe
leid ,suffering,Sofrimento
lassen ,to let,permitir
hey ,hey,Ei
waren ,were,era
zur ,to the,ao
lass ,let,deixar
e ,e,e
geld ,money,dinheiro